"Name","PassengerId","Survived","Sex","Pclass","Fare"
"Makinen, Mr. Kalle Edvard",989,"0","male",3,7.925
"Braf, Miss. Elin Ester Maria",990,"0","female",3,7.8542
"Nancarrow, Mr. William Henry",991,"0","male",3,8.05
"Stengel, Mrs. Charles Emil Henry (Annie May Morris)",992,"1","female",1,55.4417
"Weisz, Mr. Leopold",993,"0","male",2,26
"Foley, Mr. William",994,"0","male",3,7.75
"Johansson Palmquist, Mr. Oskar Leander",995,"0","male",3,7.775
"Thomas, Mrs. Alexander (Thamine Thelma"")""",996,"1","female",3,8.5167
"Holthen, Mr. Johan Martin",997,"0","male",3,22.525
"Buckley, Mr. Daniel",998,"0","male",3,7.8208
"Ryan, Mr. Edward",999,"0","male",3,7.75
"Willer, Mr. Aaron (Abi Weller"")""",1000,"0","male",3,8.7125
"Swane, Mr. George",1001,"0","male",2,13
"Stanton, Mr. Samuel Ward",1002,"0","male",2,15.0458
"Shine, Miss. Ellen Natalia",1003,"1","female",3,7.7792
"Evans, Miss. Edith Corse",1004,"1","female",1,31.6792
"Buckley, Miss. Katherine",1005,"1","female",3,7.2833
"Straus, Mrs. Isidor (Rosalie Ida Blun)",1006,"1","female",1,221.7792
"Chronopoulos, Mr. Demetrios",1007,"0","male",3,14.4542
"Thomas, Mr. John",1008,"0","male",3,6.4375
"Sandstrom, Miss. Beatrice Irene",1009,"1","female",3,16.7
"Beattie, Mr. Thomson",1010,"0","male",1,75.2417
"Chapman, Mrs. John Henry (Sara Elizabeth Lawry)",1011,"1","female",2,26
"Watt, Miss. Bertha J",1012,"1","female",2,15.75
"Kiernan, Mr. John",1013,"0","male",3,7.75
"Schabert, Mrs. Paul (Emma Mock)",1014,"1","female",1,57.75
"Carver, Mr. Alfred John",1015,"0","male",3,7.25
"Kennedy, Mr. John",1016,"0","male",3,7.75
"Cribb, Miss. Laura Alice",1017,"1","female",3,16.1
"Brobeck, Mr. Karl Rudolf",1018,"0","male",3,7.7958
"McCoy, Miss. Alicia",1019,"1","female",3,23.25
"Bowenur, Mr. Solomon",1020,"0","male",2,13
"Petersen, Mr. Marius",1021,"0","male",3,8.05
"Spinner, Mr. Henry John",1022,"0","male",3,8.05
"Gracie, Col. Archibald IV",1023,"0","male",1,28.5
"Lefebre, Mrs. Frank (Frances)",1024,"0","female",3,25.4667
"Thomas, Mr. Charles P",1025,"0","male",3,6.4375
"Dintcheff, Mr. Valtcho",1026,"0","male",3,7.8958
"Carlsson, Mr. Carl Robert",1027,"0","male",3,7.8542
"Zakarian, Mr. Mapriededer",1028,"0","male",3,7.225
"Schmidt, Mr. August",1029,"0","male",2,13
"Drapkin, Miss. Jennie",1030,"0","female",3,8.05
"Goodwin, Mr. Charles Frederick",1031,"0","male",3,46.9
"Goodwin, Miss. Jessie Allis",1032,"0","female",3,46.9
"Daniels, Miss. Sarah",1033,"1","female",1,151.55
"Ryerson, Mr. Arthur Larned",1034,"0","male",1,262.375
"Beauchamp, Mr. Henry James",1035,"0","male",2,26
"Lindeberg-Lind, Mr. Erik Gustaf (Mr Edward Lingrey"")""",1036,"0","male",1,26.55
"Vander Planke, Mr. Julius",1037,"0","male",3,18
"Hilliard, Mr. Herbert Henry",1038,"0","male",1,51.8625
"Davies, Mr. Evan",1039,"0","male",3,8.05
"Crafton, Mr. John Bertram",1040,"0","male",1,26.55
"Lahtinen, Rev. William",1041,"0","male",2,26
"Earnshaw, Mrs. Boulton (Olive Potter)",1042,"1","female",1,83.1583
"Matinoff, Mr. Nicola",1043,"0","male",3,7.8958
"Storey, Mr. Thomas",1044,"0","male",3,NA
"Klasen, Mrs. (Hulda Kristina Eugenia Lofqvist)",1045,"1","female",3,12.1833
"Asplund, Master. Filip Oscar",1046,"0","male",3,31.3875
"Duquemin, Mr. Joseph",1047,"0","male",3,7.55
"Bird, Miss. Ellen",1048,"1","female",1,221.7792
"Lundin, Miss. Olga Elida",1049,"0","female",3,7.8542
"Borebank, Mr. John James",1050,"0","male",1,26.55
"Peacock, Mrs. Benjamin (Edith Nile)",1051,"1","female",3,13.775
"Smyth, Miss. Julia",1052,"1","female",3,7.7333
"Touma, Master. Georges Youssef",1053,"0","male",3,15.2458
"Wright, Miss. Marion",1054,"1","female",2,13.5
"Pearce, Mr. Ernest",1055,"0","male",3,7
"Peruschitz, Rev. Joseph Maria",1056,"0","male",2,13
"Kink-Heilmann, Mrs. Anton (Luise Heilmann)",1057,"0","female",3,22.025
"Brandeis, Mr. Emil",1058,"0","male",1,50.4958
"Ford, Mr. Edward Watson",1059,"0","male",3,34.375
"Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)",1060,"1","female",1,27.7208
"Hellstrom, Miss. Hilda Maria",1061,"0","female",3,8.9625
"Lithman, Mr. Simon",1062,"0","male",3,7.55
"Zakarian, Mr. Ortin",1063,"0","male",3,7.225
"Dyker, Mr. Adolf Fredrik",1064,"0","male",3,13.9
"Torfa, Mr. Assad",1065,"0","male",3,7.2292
"Asplund, Mr. Carl Oscar Vilhelm Gustafsson",1066,"0","male",3,31.3875
"Brown, Miss. Edith Eileen",1067,"1","female",2,39
"Sincock, Miss. Maude",1068,"1","female",2,36.75
"Stengel, Mr. Charles Emil Henry",1069,"0","male",1,55.4417
"Becker, Mrs. Allen Oliver (Nellie E Baumgardner)",1070,"1","female",2,39
"Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)",1071,"1","female",1,83.1583
"McCrie, Mr. James Matthew",1072,"0","male",2,13
"Compton, Mr. Alexander Taylor Jr",1073,"0","male",1,83.1583
"Marvin, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson)",1074,"1","female",1,53.1
"Lane, Mr. Patrick",1075,"0","male",3,7.75
"Douglas, Mrs. Frederick Charles (Mary Helene Baxter)",1076,"1","female",1,247.5208
"Maybery, Mr. Frank Hubert",1077,"0","male",2,16
"Phillips, Miss. Alice Frances Louisa",1078,"1","female",2,21
"Davies, Mr. Joseph",1079,"0","male",3,8.05
"Sage, Miss. Ada",1080,"0","female",3,69.55
"Veal, Mr. James",1081,"0","male",2,13
"Angle, Mr. William A",1082,"0","male",2,26
"Salomon, Mr. Abraham L",1083,"0","male",1,26
"van Billiard, Master. Walter John",1084,"0","male",3,14.5
"Lingane, Mr. John",1085,"0","male",2,12.35
"Drew, Master. Marshall Brines",1086,"0","male",2,32.5
"Karlsson, Mr. Julius Konrad Eugen",1087,"0","male",3,7.8542
"Spedden, Master. Robert Douglas",1088,"1","male",1,134.5
"Nilsson, Miss. Berta Olivia",1089,"0","female",3,7.775
"Baimbrigge, Mr. Charles Robert",1090,"0","male",2,10.5
"Rasmussen, Mrs. (Lena Jacobsen Solvang)",1091,"0","female",3,8.1125
"Murphy, Miss. Nora",1092,"1","female",3,15.5
"Danbom, Master. Gilbert Sigvard Emanuel",1093,"1","male",3,14.4
"Astor, Col. John Jacob",1094,"0","male",1,227.525
"Quick, Miss. Winifred Vera",1095,"1","female",2,26
"Andrew, Mr. Frank Thomas",1096,"0","male",2,10.5
"Omont, Mr. Alfred Fernand",1097,"0","male",1,25.7417
"McGowan, Miss. Katherine",1098,"1","female",3,7.75
"Collett, Mr. Sidney C Stuart",1099,"0","male",2,10.5
"Rosenbaum, Miss. Edith Louise",1100,"1","female",1,27.7208
"Delalic, Mr. Redjo",1101,"0","male",3,7.8958
"Andersen, Mr. Albert Karvin",1102,"0","male",3,22.525
"Finoli, Mr. Luigi",1103,"0","male",3,7.05
"Deacon, Mr. Percy William",1104,"0","male",2,73.5
"Howard, Mrs. Benjamin (Ellen Truelove Arman)",1105,"1","female",2,26
"Andersson, Miss. Ida Augusta Margareta",1106,"0","female",3,7.775
"Head, Mr. Christopher",1107,"0","male",1,42.5
"Mahon, Miss. Bridget Delia",1108,"1","female",3,7.8792
"Wick, Mr. George Dennick",1109,"0","male",1,164.8667
"Widener, Mrs. George Dunton (Eleanor Elkins)",1110,"1","female",1,211.5
"Thomson, Mr. Alexander Morrison",1111,"0","male",3,8.05
"Duran y More, Miss. Florentina",1112,"1","female",2,13.8583
"Reynolds, Mr. Harold J",1113,"0","male",3,8.05
"Cook, Mrs. (Selena Rogers)",1114,"1","female",2,10.5
"Karlsson, Mr. Einar Gervasius",1115,"0","male",3,7.7958
"Candee, Mrs. Edward (Helen Churchill Hungerford)",1116,"1","female",1,27.4458
"Moubarek, Mrs. George (Omine Amenia"" Alexander)""",1117,"1","female",3,15.2458
"Asplund, Mr. Johan Charles",1118,"0","male",3,7.7958
"McNeill, Miss. Bridget",1119,"1","female",3,7.75
"Everett, Mr. Thomas James",1120,"0","male",3,15.1
"Hocking, Mr. Samuel James Metcalfe",1121,"0","male",2,13
"Sweet, Mr. George Frederick",1122,"0","male",2,65
"Willard, Miss. Constance",1123,"1","female",1,26.55
"Wiklund, Mr. Karl Johan",1124,"0","male",3,6.4958
"Linehan, Mr. Michael",1125,"0","male",3,7.8792
"Cumings, Mr. John Bradley",1126,"0","male",1,71.2833
"Vendel, Mr. Olof Edvin",1127,"0","male",3,7.8542
"Warren, Mr. Frank Manley",1128,"0","male",1,75.25
"Baccos, Mr. Raffull",1129,"0","male",3,7.225
"Hiltunen, Miss. Marta",1130,"1","female",2,13
"Douglas, Mrs. Walter Donald (Mahala Dutton)",1131,"1","female",1,106.425
"Lindstrom, Mrs. Carl Johan (Sigrid Posse)",1132,"1","female",1,27.7208
"Christy, Mrs. (Alice Frances)",1133,"1","female",2,30
"Spedden, Mr. Frederic Oakley",1134,"0","male",1,134.5
"Hyman, Mr. Abraham",1135,"0","male",3,7.8875
"Johnston, Master. William Arthur Willie""""",1136,"0","male",3,23.45
"Kenyon, Mr. Frederick R",1137,"0","male",1,51.8625
"Karnes, Mrs. J Frank (Claire Bennett)",1138,"1","female",2,21
"Drew, Mr. James Vivian",1139,"0","male",2,32.5
"Hold, Mrs. Stephen (Annie Margaret Hill)",1140,"1","female",2,26
"Khalil, Mrs. Betros (Zahie Maria"" Elias)""",1141,"1","female",3,14.4542
"West, Miss. Barbara J",1142,"1","female",2,27.75
"Abrahamsson, Mr. Abraham August Johannes",1143,"0","male",3,7.925
"Clark, Mr. Walter Miller",1144,"0","male",1,136.7792
"Salander, Mr. Karl Johan",1145,"0","male",3,9.325
"Wenzel, Mr. Linhart",1146,"0","male",3,9.5
"MacKay, Mr. George William",1147,"0","male",3,7.55
"Mahon, Mr. John",1148,"0","male",3,7.75
"Niklasson, Mr. Samuel",1149,"0","male",3,8.05
"Bentham, Miss. Lilian W",1150,"1","female",2,13
"Midtsjo, Mr. Karl Albert",1151,"0","male",3,7.775
"de Messemaeker, Mr. Guillaume Joseph",1152,"0","male",3,17.4
"Nilsson, Mr. August Ferdinand",1153,"0","male",3,7.8542
"Wells, Mrs. Arthur Henry (Addie"" Dart Trevaskis)""",1154,"1","female",2,23
"Klasen, Miss. Gertrud Emilia",1155,"1","female",3,12.1833
"Portaluppi, Mr. Emilio Ilario Giuseppe",1156,"0","male",2,12.7375
"Lyntakoff, Mr. Stanko",1157,"0","male",3,7.8958
"Chisholm, Mr. Roderick Robert Crispin",1158,"0","male",1,0
"Warren, Mr. Charles William",1159,"0","male",3,7.55
"Howard, Miss. May Elizabeth",1160,"0","female",3,8.05
"Pokrnic, Mr. Mate",1161,"0","male",3,8.6625
"McCaffry, Mr. Thomas Francis",1162,"0","male",1,75.2417
"Fox, Mr. Patrick",1163,"0","male",3,7.75
"Clark, Mrs. Walter Miller (Virginia McDowell)",1164,"1","female",1,136.7792
"Lennon, Miss. Mary",1165,"1","female",3,15.5
"Saade, Mr. Jean Nassr",1166,"0","male",3,7.225
"Bryhl, Miss. Dagmar Jenny Ingeborg ",1167,"1","female",2,26
"Parker, Mr. Clifford Richard",1168,"0","male",2,10.5
"Faunthorpe, Mr. Harry",1169,"0","male",2,26
"Ware, Mr. John James",1170,"0","male",2,21
"Oxenham, Mr. Percy Thomas",1171,"0","male",2,10.5
"Oreskovic, Miss. Jelka",1172,"0","female",3,8.6625
"Peacock, Master. Alfred Edward",1173,"1","male",3,13.775
"Fleming, Miss. Honora",1174,"1","female",3,7.75
"Touma, Miss. Maria Youssef",1175,"1","female",3,15.2458
"Rosblom, Miss. Salli Helena",1176,"0","female",3,20.2125
"Dennis, Mr. William",1177,"0","male",3,7.25
"Franklin, Mr. Charles (Charles Fardon)",1178,"0","male",3,7.25
"Snyder, Mr. John Pillsbury",1179,"0","male",1,82.2667
"Mardirosian, Mr. Sarkis",1180,"0","male",3,7.2292
"Ford, Mr. Arthur",1181,"0","male",3,8.05
"Rheims, Mr. George Alexander Lucien",1182,"0","male",1,39.6
"Daly, Miss. Margaret Marcella Maggie""""",1183,"1","female",3,6.95
"Nasr, Mr. Mustafa",1184,"0","male",3,7.2292
"Dodge, Dr. Washington",1185,"0","male",1,81.8583
"Wittevrongel, Mr. Camille",1186,"0","male",3,9.5
"Angheloff, Mr. Minko",1187,"0","male",3,7.8958
"Laroche, Miss. Louise",1188,"1","female",2,41.5792
"Samaan, Mr. Hanna",1189,"0","male",3,21.6792
"Loring, Mr. Joseph Holland",1190,"0","male",1,45.5
"Johansson, Mr. Nils",1191,"0","male",3,7.8542
"Olsson, Mr. Oscar Wilhelm",1192,"0","male",3,7.775
"Malachard, Mr. Noel",1193,"0","male",2,15.0458
"Phillips, Mr. Escott Robert",1194,"0","male",2,21
"Pokrnic, Mr. Tome",1195,"0","male",3,8.6625
"McCarthy, Miss. Catherine Katie""""",1196,"1","female",3,7.75
"Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead)",1197,"1","female",1,26.55
"Allison, Mr. Hudson Joshua Creighton",1198,"0","male",1,151.55
"Aks, Master. Philip Frank",1199,"1","male",3,9.35
"Hays, Mr. Charles Melville",1200,"0","male",1,93.5
"Hansen, Mrs. Claus Peter (Jennie L Howard)",1201,"1","female",3,14.1083
"Cacic, Mr. Jego Grga",1202,"0","male",3,8.6625
"Vartanian, Mr. David",1203,"0","male",3,7.225
"Sadowitz, Mr. Harry",1204,"0","male",3,7.575
"Carr, Miss. Jeannie",1205,"1","female",3,7.75
"White, Mrs. John Stuart (Ella Holmes)",1206,"1","female",1,135.6333
"Hagardon, Miss. Kate",1207,"1","female",3,7.7333
"Spencer, Mr. William Augustus",1208,"0","male",1,146.5208
"Rogers, Mr. Reginald Harry",1209,"0","male",2,10.5
"Jonsson, Mr. Nils Hilding",1210,"0","male",3,7.8542
"Jefferys, Mr. Ernest Wilfred",1211,"0","male",2,31.5
"Andersson, Mr. Johan Samuel",1212,"0","male",3,7.775
"Krekorian, Mr. Neshan",1213,"0","male",3,7.2292
"Nesson, Mr. Israel",1214,"0","male",2,13
"Rowe, Mr. Alfred G",1215,"0","male",1,26.55
"Kreuchen, Miss. Emilie",1216,"1","female",1,211.3375
"Assam, Mr. Ali",1217,"0","male",3,7.05
"Becker, Miss. Ruth Elizabeth",1218,"1","female",2,39
"Rosenshine, Mr. George (Mr George Thorne"")""",1219,"0","male",1,79.2
"Clarke, Mr. Charles Valentine",1220,"0","male",2,26
"Enander, Mr. Ingvar",1221,"0","male",2,13
"Davies, Mrs. John Morgan (Elizabeth Agnes Mary White) ",1222,"1","female",2,36.75
"Dulles, Mr. William Crothers",1223,"0","male",1,29.7
"Thomas, Mr. Tannous",1224,"0","male",3,7.225
"Nakid, Mrs. Said (Waika Mary"" Mowad)""",1225,"1","female",3,15.7417
"Cor, Mr. Ivan",1226,"0","male",3,7.8958
"Maguire, Mr. John Edward",1227,"0","male",1,26
"de Brito, Mr. Jose Joaquim",1228,"0","male",2,13
"Elias, Mr. Joseph",1229,"0","male",3,7.2292
"Denbury, Mr. Herbert",1230,"0","male",2,31.5
"Betros, Master. Seman",1231,"0","male",3,7.2292
"Fillbrook, Mr. Joseph Charles",1232,"0","male",2,10.5
"Lundstrom, Mr. Thure Edvin",1233,"0","male",3,7.5792
"Sage, Mr. John George",1234,"0","male",3,69.55
"Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake)",1235,"1","female",1,512.3292
"van Billiard, Master. James William",1236,"0","male",3,14.5
"Abelseth, Miss. Karen Marie",1237,"0","female",3,7.65
"Botsford, Mr. William Hull",1238,"0","male",2,13
"Whabee, Mrs. George Joseph (Shawneene Abi-Saab)",1239,"1","female",3,7.2292
"Giles, Mr. Ralph",1240,"0","male",2,13.5
"Walcroft, Miss. Nellie",1241,"1","female",2,21
"Greenfield, Mrs. Leo David (Blanche Strouse)",1242,"1","female",1,63.3583
"Stokes, Mr. Philip Joseph",1243,"0","male",2,10.5
"Dibden, Mr. William",1244,"0","male",2,73.5
"Herman, Mr. Samuel",1245,"0","male",2,65
"Dean, Miss. Elizabeth Gladys Millvina""""",1246,"0","female",3,20.575
"Julian, Mr. Henry Forbes",1247,"0","male",1,26
"Brown, Mrs. John Murray (Caroline Lane Lamson)",1248,"1","female",1,51.4792
"Lockyer, Mr. Edward",1249,"0","male",3,7.8792
"O'Keefe, Mr. Patrick",1250,"0","male",3,7.75
"Lindell, Mrs. Edvard Bengtsson (Elin Gerda Persson)",1251,"1","female",3,15.55
"Sage, Master. William Henry",1252,"0","male",3,69.55
"Mallet, Mrs. Albert (Antoinette Magnin)",1253,"1","female",2,37.0042
"Ware, Mrs. John James (Florence Louise Long)",1254,"1","female",2,21
"Strilic, Mr. Ivan",1255,"0","male",3,8.6625
"Harder, Mrs. George Achilles (Dorothy Annan)",1256,"1","female",1,55.4417
"Sage, Mrs. John (Annie Bullen)",1257,"0","female",3,69.55
"Caram, Mr. Joseph",1258,"0","male",3,14.4583
"Riihivouri, Miss. Susanna Juhantytar Sanni""""",1259,"0","female",3,39.6875
"Gibson, Mrs. Leonard (Pauline C Boeson)",1260,"1","female",1,59.4
"Pallas y Castello, Mr. Emilio",1261,"0","male",2,13.8583
"Giles, Mr. Edgar",1262,"0","male",2,11.5
"Wilson, Miss. Helen Alice",1263,"1","female",1,134.5
"Ismay, Mr. Joseph Bruce",1264,"0","male",1,0
"Harbeck, Mr. William H",1265,"0","male",2,13
"Dodge, Mrs. Washington (Ruth Vidaver)",1266,"1","female",1,81.8583
"Bowen, Miss. Grace Scott",1267,"1","female",1,262.375
"Kink, Miss. Maria",1268,"0","female",3,8.6625
"Cotterill, Mr. Henry Harry""""",1269,"0","male",2,11.5
"Hipkins, Mr. William Edward",1270,"0","male",1,50
"Asplund, Master. Carl Edgar",1271,"0","male",3,31.3875
"O'Connor, Mr. Patrick",1272,"0","male",3,7.75
"Foley, Mr. Joseph",1273,"0","male",3,7.8792
"Risien, Mrs. Samuel (Emma)",1274,"1","female",3,14.5
"McNamee, Mrs. Neal (Eileen O'Leary)",1275,"1","female",3,16.1
"Wheeler, Mr. Edwin Frederick""""",1276,"0","male",2,12.875
"Herman, Miss. Kate",1277,"1","female",2,65
"Aronsson, Mr. Ernst Axel Algot",1278,"0","male",3,7.775
"Ashby, Mr. John",1279,"0","male",2,13
"Canavan, Mr. Patrick",1280,"0","male",3,7.75
"Palsson, Master. Paul Folke",1281,"0","male",3,21.075
"Payne, Mr. Vivian Ponsonby",1282,"0","male",1,93.5
"Lines, Mrs. Ernest H (Elizabeth Lindsey James)",1283,"1","female",1,39.4
"Abbott, Master. Eugene Joseph",1284,"0","male",3,20.25
"Gilbert, Mr. William",1285,"0","male",2,10.5
"Kink-Heilmann, Mr. Anton",1286,"0","male",3,22.025
"Smith, Mrs. Lucien Philip (Mary Eloise Hughes)",1287,"1","female",1,60
"Colbert, Mr. Patrick",1288,"0","male",3,7.25
"Frolicher-Stehli, Mrs. Maxmillian (Margaretha Emerentia Stehli)",1289,"1","female",1,79.2
"Larsson-Rondberg, Mr. Edvard A",1290,"0","male",3,7.775
"Conlon, Mr. Thomas Henry",1291,"0","male",3,7.7333
"Bonnell, Miss. Caroline",1292,"1","female",1,164.8667
"Gale, Mr. Harry",1293,"0","male",2,21
"Gibson, Miss. Dorothy Winifred",1294,"1","female",1,59.4
"Carrau, Mr. Jose Pedro",1295,"0","male",1,47.1
"Frauenthal, Mr. Isaac Gerald",1296,"0","male",1,27.7208
"Nourney, Mr. Alfred (Baron von Drachstedt"")""",1297,"0","male",2,13.8625
"Ware, Mr. William Jeffery",1298,"0","male",2,10.5
"Widener, Mr. George Dunton",1299,"0","male",1,211.5
"Riordan, Miss. Johanna Hannah""""",1300,"1","female",3,7.7208
"Peacock, Miss. Treasteall",1301,"1","female",3,13.775
"Naughton, Miss. Hannah",1302,"1","female",3,7.75
"Minahan, Mrs. William Edward (Lillian E Thorpe)",1303,"1","female",1,90
"Henriksson, Miss. Jenny Lovisa",1304,"0","female",3,7.775
"Spector, Mr. Woolf",1305,"0","male",3,8.05
"Oliva y Ocana, Dona. Fermina",1306,"1","female",1,108.9
"Saether, Mr. Simon Sivertsen",1307,"0","male",3,7.25
"Ware, Mr. Frederick",1308,"0","male",3,8.05
"Peter, Master. Michael J",1309,"0","male",3,22.3583
